search_id,timestamp,site_id,user_country_id,user_hist_stars,user_hist_paid,listing_country_id,listing_id,listing_stars,listing_review_score,is_brand,location_score1,location_score2,log_historical_price,listing_position,price_usd,has_promotion,destination_id,length_of_stay,booking_window,num_adults,num_kids,num_rooms,stay_on_saturday,log_click_proportion,distance_to_dest,random_sort,competitor1_rate,competitor1_has_availability,competitor1_price_percent_diff,competitor2_rate,competitor2_has_availability,competitor2_price_percent_diff,competitor3_rate,competitor3_has_availability,competitor3_price_percent_diff,competitor4_rate,competitor4_has_availability,competitor4_price_percent_diff,competitor5_rate,competitor5_has_availability,competitor5_price_percent_diff,competitor6_rate,competitor6_has_availability,competitor6_price_percent_diff,competitor7_rate,competitor7_has_availability,competitor7_price_percent_diff,competitor8_rate,competitor8_has_availability,competitor8_price_percent_diff,clicked,booking_value,booked
158061,26/05/2013 02:11,5,219,,,219,73891,2,3,1,2.48,0.1069,3.94,26,47,0,6722,1,7,2,0,1,0,,135.27,0,,,,0,0,,,,,,,,1,0,13,,,,,,,,,,0,,0
413633,04/11/2012 16:50,5,219,,,219,137589,3,4.5,1,1.61,0.0135,4.93,8,175,0,14643,3,149,2,1,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
220688,12/04/2013 18:05,5,219,,,59,2109,2,4,0,3.87,0.0262,4.49,34,53,0,6659,5,10,2,0,1,0,,,1,,,,,,,,,,,,,0,0,,,,,,,,,,,0,,0
107062,04/03/2013 11:11,5,219,,,219,101743,3,4,1,4.23,0.0076,5.1,6,103,1,17713,2,7,1,2,1,0,,970.87,0,,,,0,0,15,0,0,15,,,,0,0,,,,,,,,0,0,,0,,0
389139,22/01/2013 15:13,5,219,,,219,122804,2,3,1,2.08,0.0324,4.36,26,69,0,4748,1,3,1,0,1,1,,,1,,,,0,0,,0,0,,,,,1,0,8,,,,,,,0,0,14,0,,0
12293,07/05/2013 17:21,5,219,,,219,18142,2,3,1,3.33,,4.96,16,69,0,19032,1,0,1,1,2,0,-34.1691,180.15,0,,,,,,,0,0,,,,,0,0,,,,,,,,0,0,,0,,0
418136,09/05/2013 19:11,5,219,,,219,103423,3,4.5,1,2.89,,5.05,19,150,0,3019,1,2,2,0,1,1,-12.8854,120.52,0,,,,0,0,,0,0,,,,,,,,,,,,,,0,0,,0,,0
511276,18/01/2013 15:02,32,220,,,220,85571,5,4,1,3.53,0.2358,5.57,24,324.78,0,15184,1,130,2,1,1,0,,1958.1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
550376,21/03/2013 18:38,5,219,,,219,61950,4,4,1,2.2,0.0135,4.84,28,89,0,24162,4,7,1,0,1,1,,724.23,0,,,,0,0,,,,,,,,1,0,17,,,,,,,0,0,,0,,0
470144,27/12/2012 17:18,5,219,,,219,82169,3,3.5,1,0.69,0.0031,4.87,15,70,0,6443,1,0,2,1,1,1,,153.54,0,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0
52227,24/11/2012 10:16,5,219,,,219,115460,3,4.5,1,1.1,0.0027,4.59,26,90,0,19118,2,27,2,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
354178,06/12/2012 19:26,5,219,,,219,48898,2,3,1,2.64,0.0125,4.76,21,61,0,7384,6,12,2,0,1,0,,1730,0,,,,0,0,,0,0,,,,,,,,,,,,,,0,0,,0,,0
349904,27/12/2012 20:08,14,100,,,56,95420,5,4.5,0,5.18,0.0763,5.39,1,157.76,1,16822,3,46,4,0,2,0,,4301.54,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1113.98,1
270675,10/06/2013 17:10,9,59,,,59,40987,3,4,0,3.56,0.1658,0,16,38.1,0,21319,1,70,2,0,1,0,,135.02,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
521963,10/04/2013 01:27,24,216,,,216,131776,3,4.5,1,3.95,0.4907,4.99,13,89.6,0,9713,1,14,2,0,1,0,,,1,,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,0,,0
